"TokenNumber","TokenPadded","Title","WorkID","Range","SourceImagePath","SourceBytes","ImagePath","ImageFileName","DestinationImagePath","ItemPage","PublicPageURL","OpenSeaItemURL","Status","Note"
"8001","8001","Light Cult Crypto Club #8001","RE-009811","8001-8100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-8001.png","7676","images/8001-8100/LCCC-8001.png","LCCC-8001.png","D:\github\ron-english-light-cult-8001-9000\images\8001-8100\LCCC-8001.png","items/lccc-8001.html","https://ronenglish-archive.github.io/ron-english-light-cult-8001-9000/items/lccc-8001.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/8001","OK",""
"8002","8002","Light Cult Crypto Club #8002","RE-009812","8001-8100","","","","","","items/lccc-8002.html","https://ronenglish-archive.github.io/ron-english-light-cult-8001-9000/items/lccc-8002.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/8002","MISSING SOURCE IMAGE","No source image found for token #8002"
"8003","8003","Light Cult Crypto Club #8003","RE-009813","8001-8100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-8003.png","16088","images/8001-8100/LCCC-8003.png","LCCC-8003.png","D:\github\ron-english-light-cult-8001-9000\images\8001-8100\LCCC-8003.png","items/lccc-8003.html","https://ronenglish-archive.github.io/ron-english-light-cult-8001-9000/items/lccc-8003.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/8003","OK",""
"8004","8004","Light Cult Crypto Club #8004","RE-009814","8001-8100","","","","","","items/lccc-8004.html","https://ronenglish-archive.github.io/ron-english-light-cult-8001-9000/items/lccc-8004.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/8004","MISSING SOURCE IMAGE","No source image found for token #8004"
"8005","8005","Light Cult Crypto Club #8005","RE-009815","8001-8100","","","","","","items/lccc-8005.html","https://ronenglish-archive.github.io/ron-english-light-cult-8001-9000/items/lccc-8005.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/8005","MISSING SOURCE IMAGE","No source image found for token #8005"
"8006","8006","Light Cult Crypto Club #8006","RE-009816","8001-8100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-8006.png","13494","images/8001-8100/LCCC-8006.png","LCCC-8006.png","D:\github\ron-english-light-cult-8001-9000\images\8001-8100\LCCC-8006.png","items/lccc-8006.html","https://ronenglish-archive.github.io/ron-english-light-cult-8001-9000/items/lccc-8006.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/8006","OK",""
"8007","8007","Light Cult Crypto Club #8007","RE-009817","8001-8100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-8007.png","18831","images/8001-8100/LCCC-8007.png","LCCC-8007.png","D:\github\ron-english-light-cult-8001-9000\images\8001-8100\LCCC-8007.png","items/lccc-8007.html","https://ronenglish-archive.github.io/ron-english-light-cult-8001-9000/items/lccc-8007.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/8007","OK",""
"8008","8008","Light Cult Crypto Club #8008","RE-009818","8001-8100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-8008.png","7850","images/8001-8100/LCCC-8008.png","LCCC-8008.png","D:\github\ron-english-light-cult-8001-9000\images\8001-8100\LCCC-8008.png","items/lccc-8008.html","https://ronenglish-archive.github.io/ron-english-light-cult-8001-9000/items/lccc-8008.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/8008","OK",""
"8009","8009","Light Cult Crypto Club #8009","RE-009819","8001-8100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-8009.png","26338","images/8001-8100/LCCC-8009.png","LCCC-8009.png","D:\github\ron-english-light-cult-8001-9000\images\8001-8100\LCCC-8009.png","items/lccc-8009.html","https://ronenglish-archive.github.io/ron-english-light-cult-8001-9000/items/lccc-8009.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/8009","OK",""
"8010","8010","Light Cult Crypto Club #8010","RE-009820","8001-8100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-8010.png","25425","images/8001-8100/LCCC-8010.png","LCCC-8010.png","D:\github\ron-english-light-cult-8001-9000\images\8001-8100\LCCC-8010.png","items/lccc-8010.html","https://ronenglish-archive.github.io/ron-english-light-cult-8001-9000/items/lccc-8010.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/8010","OK",""
"8011","8011","Light Cult Crypto Club #8011","RE-009821","8001-8100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-8011.png","14454","images/8001-8100/LCCC-8011.png","LCCC-8011.png","D:\github\ron-english-light-cult-8001-9000\images\8001-8100\LCCC-8011.png","items/lccc-8011.html","https://ronenglish-archive.github.io/ron-english-light-cult-8001-9000/items/lccc-8011.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/8011","OK",""
"8012","8012","Light Cult Crypto Club #8012","RE-009822","8001-8100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-8012.png","5520","images/8001-8100/LCCC-8012.png","LCCC-8012.png","D:\github\ron-english-light-cult-8001-9000\images\8001-8100\LCCC-8012.png","items/lccc-8012.html","https://ronenglish-archive.github.io/ron-english-light-cult-8001-9000/items/lccc-8012.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/8012","OK",""
"8013","8013","Light Cult Crypto Club #8013","RE-009823","8001-8100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-8013.png","24297","images/8001-8100/LCCC-8013.png","LCCC-8013.png","D:\github\ron-english-light-cult-8001-9000\images\8001-8100\LCCC-8013.png","items/lccc-8013.html","https://ronenglish-archive.github.io/ron-english-light-cult-8001-9000/items/lccc-8013.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/8013","OK",""
"8014","8014","Light Cult Crypto Club #8014","RE-009824","8001-8100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-8014.png","11818","images/8001-8100/LCCC-8014.png","LCCC-8014.png","D:\github\ron-english-light-cult-8001-9000\images\8001-8100\LCCC-8014.png","items/lccc-8014.html","https://ronenglish-archive.github.io/ron-english-light-cult-8001-9000/items/lccc-8014.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/8014","OK",""
"8015","8015","Light Cult Crypto Club #8015","RE-009825","8001-8100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-8015.png","25880","images/8001-8100/LCCC-8015.png","LCCC-8015.png","D:\github\ron-english-light-cult-8001-9000\images\8001-8100\LCCC-8015.png","items/lccc-8015.html","https://ronenglish-archive.github.io/ron-english-light-cult-8001-9000/items/lccc-8015.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/8015","OK",""
"8016","8016","Light Cult Crypto Club #8016","RE-009826","8001-8100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-8016.png","39552","images/8001-8100/LCCC-8016.png","LCCC-8016.png","D:\github\ron-english-light-cult-8001-9000\images\8001-8100\LCCC-8016.png","items/lccc-8016.html","https://ronenglish-archive.github.io/ron-english-light-cult-8001-9000/items/lccc-8016.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/8016","OK",""
"8017","8017","Light Cult Crypto Club #8017","RE-009827","8001-8100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-8017.png","6811","images/8001-8100/LCCC-8017.png","LCCC-8017.png","D:\github\ron-english-light-cult-8001-9000\images\8001-8100\LCCC-8017.png","items/lccc-8017.html","https://ronenglish-archive.github.io/ron-english-light-cult-8001-9000/items/lccc-8017.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/8017","OK",""
